step,mloss,gloss,loss
100.0,1.7764,2.6064,4.3828
200.0,1.5133,1.0014,2.5147000000000004
300.0,1.4685,0.9789,2.4474
400.0,1.441,0.9488,2.3898
500.0,1.4136,0.9044,2.318
600.0,1.3867,0.8404,2.2271
700.0,1.3767,0.8124,2.1891
800.0,1.3479,0.7698,2.1177
900.0,1.3356,0.75,2.0856
1000.0,1.333,0.7449,2.0779
1100.0,1.3221,0.7215,2.0436
1200.0,1.3233,0.7113,2.0346
1300.0,1.32,0.7009,2.0209
1400.0,1.3061,0.6967,2.0028
1500.0,1.3087,0.6964,2.0051
1600.0,1.302,0.6766,1.9786000000000001
1700.0,1.2941,0.6707,1.9647999999999999
1800.0,1.2989,0.657,1.9559
1900.0,1.2931,0.641,1.9341
2000.0,1.2876,0.635,1.9226
2100.0,1.2855,0.6239,1.9094000000000002
2200.0,1.2822,0.6136,1.8958
2300.0,1.2886,0.6014,1.8900000000000001
2400.0,1.2858,0.6115,1.8973
2500.0,1.2911,0.6176,1.9087
2600.0,1.2928,0.592,1.8847999999999998
2700.0,1.2887,0.6057,1.8944
2800.0,1.2974,0.6284,1.9258000000000002
2900.0,1.3038,0.653,1.9568
3000.0,1.2826,0.6396,1.9222
3100.0,1.2832,0.6057,1.8889
3200.0,1.2944,0.6132,1.9076
3300.0,1.2713,0.5723,1.8436000000000001
3400.0,1.2797,0.6037,1.8834
3500.0,1.2797,0.5994,1.8791000000000002
3600.0,1.2973,0.6248,1.9221
3700.0,1.2735,0.5946,1.8681
3800.0,1.2866,0.602,1.8885999999999998
3900.0,1.2893,0.5931,1.8823999999999999
4000.0,1.2868,0.5863,1.8731
4100.0,1.2986,0.6439,1.9425
4200.0,1.264,0.5411,1.8051
4300.0,1.2805,0.6222,1.9026999999999998
4400.0,1.2967,0.6225,1.9192
4500.0,1.2709,0.6014,1.8723
4600.0,1.2809,0.6021,1.883
4700.0,1.2658,0.5561,1.8219
4800.0,1.2662,0.5286,1.7948
4900.0,1.2728,0.5641,1.8369
5000.0,1.2763,0.5927,1.869
5100.0,1.2639,0.542,1.8059
5200.0,1.2762,0.5703,1.8465
5300.0,1.2641,0.5352,1.7993000000000001
5400.0,1.2612,0.5218,1.7830000000000001
5500.0,1.2716,0.5721,1.8437000000000001
5600.0,1.2614,0.5594,1.8208000000000002
5700.0,1.2688,0.5698,1.8386
5800.0,1.2577,0.5319,1.7896
5900.0,1.2499,0.5206,1.7705
6000.0,1.255,0.505,1.7599999999999998
6100.0,1.274,0.5414,1.8154
6200.0,1.269,0.5743,1.8433
6300.0,1.2606,0.5291,1.7896999999999998
6400.0,1.272,0.5442,1.8162
6500.0,1.2615,0.5165,1.778
6600.0,1.2569,0.4807,1.7376
6700.0,1.2543,0.5184,1.7727
6800.0,1.2556,0.459,1.7146000000000001
6900.0,1.2596,0.5651,1.8247
7000.0,1.2635,0.5411,1.8046000000000002
7100.0,1.2606,0.5516,1.8121999999999998
7200.0,1.2489,0.4864,1.7352999999999998
7300.0,1.2654,0.542,1.8074000000000001
7400.0,1.2522,0.4951,1.7473
7500.0,1.2525,0.4833,1.7358
7600.0,1.2549,0.4869,1.7418
7700.0,1.2515,0.4805,1.732
7800.0,1.2564,0.4953,1.7517
7900.0,1.2554,0.4991,1.7545000000000002
8000.0,1.264,0.5301,1.7941
8100.0,1.252,0.469,1.721
8200.0,1.2489,0.4379,1.6867999999999999
8300.0,1.2698,0.4853,1.7551
8400.0,1.2822,0.5168,1.799
8500.0,1.2541,0.4984,1.7525
8600.0,1.249,0.4435,1.6925000000000001
8700.0,1.2487,0.4122,1.6608999999999998
8800.0,1.2554,0.4296,1.685
8900.0,1.2534,0.4715,1.7249
9000.0,1.2459,0.4081,1.654
9100.0,1.252,0.4438,1.6958
9200.0,1.2503,0.4391,1.6894
9300.0,1.2568,0.4482,1.7049999999999998
9400.0,1.2399,0.3809,1.6208
9500.0,1.2517,0.4173,1.669
9600.0,1.2464,0.411,1.6574
9700.0,1.249,0.4036,1.6526
9800.0,1.2629,0.4928,1.7557
9900.0,1.2527,0.4317,1.6844
10000.0,1.2482,0.3842,1.6324
10100.0,1.2533,0.3824,1.6357000000000002
10200.0,1.2417,0.3553,1.597
10300.0,1.2335,0.3435,1.577
10400.0,1.2352,0.3438,1.5790000000000002
10500.0,1.2405,0.344,1.5844999999999998
10600.0,1.2379,0.3381,1.576
10700.0,1.2313,0.339,1.5703
10800.0,1.2378,0.3343,1.5721
10900.0,1.2353,0.3291,1.5644
11000.0,1.2373,0.3315,1.5688
11100.0,1.2365,0.3236,1.5600999999999998
11200.0,1.229,0.3272,1.5562
11300.0,1.2309,0.3228,1.5537
11400.0,1.2281,0.3146,1.5427
11500.0,1.2363,0.3247,1.561
11600.0,1.236,0.3107,1.5467
11700.0,1.2357,0.3099,1.5456
11800.0,1.226,0.3139,1.5399
11900.0,1.2365,0.3127,1.5492
12000.0,1.2281,0.3049,1.533
12100.0,1.227,0.3026,1.5296
12200.0,1.232,0.3062,1.5382
12300.0,1.2289,0.3074,1.5363000000000002
12400.0,1.2263,0.298,1.5243
12500.0,1.2285,0.3041,1.5326
12600.0,1.2292,0.3046,1.5338
12700.0,1.2251,0.2984,1.5235
12800.0,1.2234,0.2947,1.5181
12900.0,1.2263,0.2965,1.5228
13000.0,1.2275,0.3003,1.5278
13100.0,1.2244,0.2917,1.5161
13200.0,1.2212,0.2962,1.5174
13300.0,1.2252,0.2941,1.5193
13400.0,1.2331,0.2912,1.5243000000000002
13500.0,1.2267,0.295,1.5216999999999998
13600.0,1.2251,0.2902,1.5153
13700.0,1.223,0.2947,1.5177
13800.0,1.2232,0.2938,1.5170000000000001
13900.0,1.2273,0.2855,1.5128
14000.0,1.2232,0.3006,1.5238
14100.0,1.2261,0.2822,1.5083
14200.0,1.221,0.287,1.508
14300.0,1.2222,0.2877,1.5099
14400.0,1.2204,0.2887,1.5090999999999999
14500.0,1.2206,0.2861,1.5067
14600.0,1.218,0.2827,1.5007
14700.0,1.224,0.2811,1.5051
14800.0,1.2253,0.2797,1.5050000000000001
14900.0,1.2249,0.2869,1.5118
15000.0,1.2222,0.2823,1.5045
15100.0,1.2197,0.2795,1.4992
15200.0,1.2154,0.2798,1.4952
15300.0,1.2171,0.2816,1.4987000000000001
15400.0,1.2222,0.2776,1.4998
15500.0,1.2271,0.2791,1.5062000000000002
15600.0,1.2123,0.2787,1.4909999999999999
15700.0,1.2201,0.2826,1.5027
15800.0,1.2223,0.2765,1.4988
15900.0,1.2176,0.2738,1.4914
16000.0,1.2182,0.2774,1.4956
16100.0,1.2194,0.2741,1.4935
16200.0,1.2163,0.2723,1.4886
16300.0,1.215,0.271,1.4860000000000002
16400.0,1.2233,0.2747,1.498
16500.0,1.2154,0.2697,1.4851
16600.0,1.2174,0.2804,1.4978
16700.0,1.2141,0.2708,1.4848999999999999
16800.0,1.2143,0.2705,1.4848
16900.0,1.2159,0.268,1.4839
17000.0,1.2158,0.2686,1.4844
17100.0,1.2112,0.2667,1.4779
17200.0,1.2197,0.2674,1.4871
17300.0,1.2142,0.2694,1.4836
17400.0,1.2182,0.2664,1.4846
17500.0,1.2239,0.2701,1.494
17600.0,1.2117,0.2676,1.4793
17700.0,1.2146,0.2705,1.4850999999999999
17800.0,1.2091,0.266,1.4751
17900.0,1.216,0.2657,1.4817
18000.0,1.2111,0.2637,1.4748
18100.0,1.2126,0.2648,1.4773999999999998
18200.0,1.216,0.2643,1.4803
18300.0,1.2112,0.2639,1.4751
18400.0,1.212,0.2643,1.4763
18500.0,1.2139,0.2628,1.4767
18600.0,1.2135,0.2614,1.4749
18700.0,1.212,0.2617,1.4737
18800.0,1.214,0.2627,1.4767
18900.0,1.2123,0.2619,1.4742
19000.0,1.2069,0.2612,1.4681000000000002
19100.0,1.2133,0.2607,1.474
19200.0,1.2098,0.2606,1.4704
19300.0,1.2091,0.2608,1.4699
19400.0,1.2059,0.2597,1.4656
19500.0,1.2127,0.2598,1.4725
19600.0,1.2104,0.26,1.4704
19700.0,1.2088,0.2601,1.4689
19800.0,1.2079,0.2583,1.4662
19900.0,1.2104,0.2595,1.4699
20000.0,1.2191,0.2589,1.4780000000000002
